"N°","Color","Equipo Autonomo","Prioridad","Fecha apertura","Descripción anomalia","Estado actual"
"7","Verde","Calandrado","Media","2019-01-31T23:10:10.000Z","Buscar otra ubicación para el rolo gofrador que esta sobre pasarela #G2-1","Cerrada"
"8","Verde","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Falta identificación a cables de termo cuplas en cabezal  #G1-2","Cerrada"
"17","Verde","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Cambio de vidrio de reg. Tem .además colocar rango de riesgo en vidrio interior de reloj. #G1-3","Cerrada"
"18","Verde","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Remplazo bandeja querosene x humedecido de trapo  #G1-4","Cerrada"
"23","Verde","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Planchuela extra innecesaria que genera una condición insegura  #G1-5","Cerrada"
"28","Verde","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Chapas en el piso deformados y patinosos  #G1-6","Cerrada"
"32","Verde","Alimentación y Extrusión","Baja","2019-01-31T23:10:10.000Z","Mejora en organización de cables  #G1-7","Cerrada"
"50","Verde","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Improvisación en sistema de descarga de material con films de PVC durante la parada de maquina en tolva alimentación. #G1-12","Cerrada"
"88","Verde","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Colocar pasamanos en escalera. #G1-51","Cerrada"
"104","Verde","Calandrado","Media","2019-01-31T23:10:10.000Z","Mangueras de aire desordenadas en zona al lado de operadora de cuchillas #G2-57","Cerrada"
"110","Verde","Calandrado","Media","2019-01-31T23:10:10.000Z","Dificultad de largada - Hacer que suban y baje el sist de corte en linea #G2-58","Cerrada"
"114","Verde","Calandrado","Media","2019-01-31T23:10:10.000Z","Limpieza del cabezal se hace al momento del cambio. Cambiar por cabezal limpio #G2-59","Cerrada"
"115","Verde","Calandrado","Baja","2019-01-31T23:10:10.000Z","Puerta de molino choca con  puerta de bobinador #G2-60","Cerrada"
