"N°","Color","Equipo Autonomo","Prioridad","Fecha apertura","Descripción anomalia","Estado actual"
"﻿1","Roja","Calandrado","Baja","2019-01-30T23:10:10.000Z","Perdida de aceite en centralina de rolos #G2-66","Cerrada"
"2","Roja","Calandrado","Media","2019-01-30T23:10:10.000Z","Cableado rolo lado este embebido en aceite #G2-73","Cerrada"
"4","Roja","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Manguera atada con trapo por perdida #G1-1","Cerrada"
"5","Roja","Calandrado","Alta","2019-01-31T23:10:10.000Z","Bulón flojo en la zona de estiro en calandra #G2-1","Cerrada"
"10","Roja","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Manguera rota en camisa de extrusor  #G1-2","Cerrada"
"11","Roja","Calandrado","Alta","2019-01-31T23:10:10.000Z","Bulón flojo en la zona de estiro en calandra #G2-2","Cerrada"
"13","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Manguera de aire suelta #G2-3","Cerrada"
"16","Roja","Alimentación y Extrusión","Baja","2019-01-31T23:10:10.000Z","Llaves neumáticas obstruidas por cableado y escaleras  #G1-3","Cerrada"
"21","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Cobertor manguera naranja en piso de fosa #G2-4","Cerrada"
"22","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Manguera larga innecesaria en estiro lado traccion #G2-5","Cerrada"
"27","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Manguera refrigeración aire en parrilla estiro cortada #G2-6","Cerrada"
"29","Roja","Calandrado","Alta","2019-01-31T23:10:10.000Z","Manguera de agua rota cubierta por trapo en zona de estiro #G2-7","Cerrada"
"33","Roja","Calandrado","Alta","2019-01-31T23:10:10.000Z","Instalación precaria de filtro de aire en fosa estiro #G2-8","Cerrada"
"36","Roja","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Perdidas de resina compuesto por cañería tapa #G1-8","Cerrada"
"39","Roja","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Perdida de aceite motor silo compuesto. #G1-9","Cerrada"
"40","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Falta drenaje automático de condensado en fosa estiro #G2-9","Cerrada"
"42","Roja","Alimentación y Extrusión","Baja","2019-01-31T23:10:10.000Z","Falta tapa de vidrio en reloj medidor de la cabina bomba vacío #G1-10","Cerrada"
"43","Roja","Calandrado","Baja","2019-01-31T23:10:10.000Z","Falta cobertura de tornillo sin fin en fosa de enfriamiento #G2-10","Cerrada"
"45","Roja","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Falta una brida  #G1-11","Cerrada"
"48","Roja","Calandrado","Baja","2019-01-31T23:10:10.000Z","Falta cobertura de tornillo sin fin en fosa de enfriamiento #G2-11","Cerrada"
"51","Roja","Alimentación y Extrusión","Baja","2019-01-31T23:10:10.000Z","Faltan tapas ciegas  #G1-12","Cerrada"
"52","Roja","Calandrado","Baja","2019-01-31T23:10:10.000Z","Acomodar cable canal del lado de tracción del bobinador #G2-13","Cerrada"
"54","Roja","Alimentación y Extrusión","Baja","2019-01-31T23:10:10.000Z","Faltan soporte de metal  #G1-13","Cerrada"
"55","Roja","Calandrado","Baja","2019-01-31T23:10:10.000Z","Sacar ex alarma de bobinador #G2-14","Cerrada"
"56","Roja","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Falta aislación, cañería, aceite caliente en camisa extrusor inferior  #G1-14","Cerrada"
"59","Roja","Calandrado","Baja","2019-01-31T23:10:10.000Z","Forro manguera rota en fosa estiro #G2-15","Cerrada"
"60","Roja","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Guías del carro extrusor no corre. No hay desplazamiento, guía del lado banda. #G1-16","Cerrada"
"61","Roja","Calandrado","Baja","2019-01-31T23:10:10.000Z","Forro manguera rota en fosa estiro #G2-16","Cerrada"
"63","Roja","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Perforación y colocación de bulón en soporte y escalera tolva  #G1-17","Cerrada"
"64","Roja","Calandrado","Baja","2019-01-31T23:10:10.000Z","Forro manguera rota en fosa estiro #G2-17","Cerrada"
"65","Roja","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Fuelle quebrado perdida de resina  #G1-18","Cerrada"
"68","Roja","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Manga permeable volver al estado original  #G1-19","Cerrada"
"72","Roja","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Perdida en bomba de vacío  #G1-22","Cerrada"
"73","Roja","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Perdida de manguera de aceite #G1-23","Cerrada"
"75","Roja","Alimentación y Extrusión","Media","2019-01-31T23:10:10.000Z","Cracking en el primer piso produce perdidas y ensucia  #G1-24","Cerrada"
"77","Roja","Alimentación y Extrusión","Baja","2019-01-31T23:10:10.000Z","Vigueta en el paso por las escaleras que se usa para subir a desarmar los tornillos de la tapa del planetario  #G1-25","Cerrada"
"85","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","No se puede acceder a limpiar el oscilador desde pasarela #G2-51","Cerrada"
"91","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Relojes de presión rotos en rolo opresor #G2-52","Cerrada"
"92","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Filtro de aceite en área de fosa sujeto con precinto #G2-53","Cerrada"
"96","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Fluorescente caído - puerta lado operador fosa #G2-54","Cerrada"
"98","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Mandril bobinador laminador falla #G2-55","Cerrada"
"103","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","En zona de tracción de rolos de la maquina C43, la caja tiene perdida de aceite #G2-56","Cerrada"
"106","Roja","Calandrado","Alta","2019-01-31T23:10:10.000Z","Reparación y compra de repuestos de llave hidráulica titan #G2-57","Cerrada"
"109","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Sensor de presión lleno con agua y aceite en calandra #G2-58","Cerrada"
"112","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Tapa motor de equipo de corte en línea suelto #G2-59","Cerrada"
"116","Roja","Calandrado","Baja","2019-01-31T23:10:10.000Z","Tablero sensor cuchillas de refile en desuso #G2-60","Cerrada"
"121","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Cable roza en sinfín del equipo de cuchillas de refile #G2-61","Cerrada"
"127","Roja","Calandrado","Baja","2019-01-31T23:10:10.000Z","Cortar / Retirar pvc enrollado en cable de seguridad #G2-64","Cerrada"
"131","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Limpiar reflector de fosa #G2-65","Cerrada"
"138","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Acomodar cableado en lado tracion #G2-72","Cerrada"
"139","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Acomodar cableado del lado de tracción en la fosa #G2-72","Cerrada"
"137","Roja","Alimentación y Extrusión","Alta","2019-01-31T23:10:10.000Z","Fuga en la vela del sistema de aspiración  #G1-71","Cerrada"
"140","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Cableado a la vista colocar tapa/cable canal #G2-74","Cerrada"
"141","Roja","Calandrado","Alta","2019-01-31T23:10:10.000Z","El cable del sistema viejo de refile esta colgando en la fosa - eliminar- #G2-75","Cerrada"
"142","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Tapa de protección 2° y 3° par - protección floja/falta tapa #G2-76","Cerrada"
"143","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Caja suelta en centralina de aceite #G2-77","Cerrada"
"144","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Perdida de aceite en centralina de rolos #G2-78","Cerrada"
"145","Roja","Calandrado","Media","2019-01-31T23:10:10.000Z","Centralina pierde aceite #G2-15 bis","Cerrada"
"147","Roja","Alimentación y Extrusión","Media","2019-02-22T23:10:10.000Z","Riesgo de caida por desnivel , chapa lisa de la semilla melon  #G1-2000","Cerrada"
"148","Roja","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","En equipo de frio, cable desconectado y sin eliminación #G3-1","Cerrada"
"151","Roja","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Luz no funciona en el equipo auxiliar frio #G3-2","Cerrada"
"155","Roja","Servicios Auxiliares","Baja","2019-02-28T23:10:10.000Z","En el equipo aux de frio, el tornillo para desarmar el panel se encuentra oxidado y gira en falso, mientras que del otro lado del panel no se puede acceder #G3-3","Cerrada"
"157","Roja","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Cables aislados sin uso para eliminar, en equipo aux de frio #G3-4","Cerrada"
"162","Roja","Servicios Auxiliares","Baja","2019-02-28T23:10:10.000Z","Material aislante roto y suelto en equipos de bombas del rolo laminador #G3-5","Cerrada"
"169","Roja","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","perdida de aceite en rolo laminadores #G3-506","Cerrada"
"171","Roja","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","bandeja portacable rota y sin tapa #G3-507","Cerrada"
"175","Roja","Servicios Auxiliares","Baja","2019-02-28T23:10:10.000Z","3 tapas torcidas y rotas en caja de bombas #G3-508","Cerrada"
"179","Roja","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Perdida de aceite en caja de bombas #G3-509","Cerrada"
"186","Roja","Servicios Auxiliares","Baja","2019-02-28T23:10:10.000Z","Perdida que genera humo en caja de bombas #G3-510","Cerrada"
"187","Roja","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","2 manómetros rotos en caja de bombas de los rolos #G3-511","Cerrada"
"190","Roja","Calandrado","Alta","2019-02-28T23:10:10.000Z","La ventola para extracción de vapor de fosa esta sin funcionar - si cañería #G2-512","Cerrada"
"196","Roja","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","válvula o marcador roto en rolo laminador #G3-513","Cerrada"
"200","Roja","Calandrado","Alta","2019-02-28T23:10:10.000Z","Conexión eléctrica en desuso en la bandeja arriba caja de estiro #G2-514","Cerrada"
"203","Roja","Servicios Auxiliares","Baja","2019-02-28T23:10:10.000Z","Válvula sin correcta aislación en equipo aux frio #G3-515","Cerrada"
"207","Roja","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Tapa de termocupla quebrada y sujetada con cinta en equipo aux frio #G3-516","Cerrada"
"210","Roja","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Difícil acceso para limpiar bandejas en equipo aux frio #G3-517","Cerrada"
"214","Roja","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Rotura de protección en rejilla del piso, en zona de calandra #G3-518","Cerrada"
"215","Roja","Calandrado","Alta","2019-02-28T23:10:10.000Z","Perdida en caja de 1° par de frio cae sobre tablero #G2-519","Cerrada"
"218","Roja","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Protección cañería caliente rota en caja de bombas #G3-520","Cerrada"
"219","Roja","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Acomodar iluminación en zona de rolo laminador #G3-521","Cerrada"
"221","Roja","Calandrado","Alta","2019-02-28T23:10:10.000Z","Reflector quemado en zona de laminadores #G2-522","Cerrada"
"223","Roja","Calandrado","Alta","2019-02-28T23:10:10.000Z","Rotura de la caja niveladora del rolo móvil del 1° par frio #G2-523","Cerrada"
"226","Roja","Servicios Auxiliares","Media","2019-02-28T23:10:10.000Z","Colocar aislación a caños de agua caliente en caja de bombas extrusor #G3-524","Cerrada"
"228","Roja","Servicios Auxiliares","Baja","2019-02-28T23:10:10.000Z","Sacar cable y electro válvula fuera de uso del equipo de aceite frio #G3-525","Cerrada"
"229","Roja","Calandrado","Media","2019-02-28T23:10:10.000Z","Manguera con precinto reemplazando a tapón en válvula #G2-526","Cerrada"
"231","Roja","Calandrado","Media","2019-02-28T23:10:10.000Z","Válvula conectada en manguera de aire suelta sin sujeción #G2-527","Cerrada"
"234","Roja","Servicios Auxiliares","Baja","2019-02-28T23:10:10.000Z","En caja de bombas falta luz de funcionamiento #G3-532","Cerrada"
"235","Roja","Servicios Auxiliares","Alta","2019-02-28T23:10:10.000Z","Falta de material aislante en equipo de rolo laminador #G3-534","Cerrada"
"236","Roja","Servicios Auxiliares","Alta","2019-03-22T23:10:10.000Z","Reparar Bobinador #G3-3099","Cerrada"
"237","Roja","Servicios Auxiliares","Alta","2019-03-23T23:10:10.000Z","Cambiar bomba eliminar perdida #G3-3107","Cerrada"
"238","Roja","Servicios Auxiliares","Alta","2019-03-23T23:10:10.000Z","Bomba con perdida #G3-3109","Cerrada"
"239","Roja","Servicios Auxiliares","Alta","2019-03-23T23:10:10.000Z","Bomba con perdida de aceite #G3-3110","Cerrada"
"240","Roja","Servicios Auxiliares","Media","2019-03-24T23:10:10.000Z","Bomba de vacío con perdida #G3-540","Cerrada"
"241","Roja","Alimentación y Extrusión","Media","2019-03-25T23:10:10.000Z","Falta aislación/ Deterioro cañería Agua C43 #G1-21","Cerrada"
"242","Roja","Alimentación y Extrusión","Media","2019-03-25T23:10:10.000Z","Bridas Oxidadas #G1-26","Cerrada"
"243","Roja","Servicios Auxiliares","Media","2019-03-25T23:10:10.000Z","Bridas Oxidadas #G3-26","Cerrada"
"252","Roja","Calandrado","Alta","2019-03-29T23:10:10.000Z","Gabinete sin tapa posterior - cableado expuesto y deteriorado #G2-67","Cerrada"
"253","Roja","Alimentación y Extrusión","Alta","2019-03-29T23:10:10.000Z","Sistema planetario con desgaste excesivo reemplazar por nuevo #G1-68","Cerrada"
